Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000131153	GINS2	protein_coding	8.422928070280317e-4	-0.413932275	0.097	0.184	1	15	23	ENSG00000131153
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000110987	BCL7A	protein_coding	8.43181697870587e-4	-0.300015782	0.174	0.284	1	15	22	ENSG00000110987
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000123159	GIPC1	protein_coding	8.450743719217134e-4	0.44783493792141466	0.643	0.651	1	110	76	ENSG00000123159
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000096401	CDC5L	protein_coding	8.468425831577314e-4	0.43780100580715403	0.64	0.643	1	112	86	ENSG00000096401
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100319	ZMAT5	protein_coding	8.476138375963488e-4	0.7562498472019525	0.403	0.339	1	38	25	ENSG00000100319
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198960	ARMCX6	protein_coding	0.000847632	-0.097544831	0.267	0.4	1	29	35	ENSG00000198960
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000092421	SEMA6A	protein_coding	8.482535272644025e-4	-0.742385056	0.202	0.3	1	24	41	ENSG00000092421
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000075826	SEC31B	protein_coding	8.544138175798456e-4	2.121211419581991	0.054	0.022	1	4	1	ENSG00000075826
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136367	ZFHX2	protein_coding	8.558338963877735e-4	1.6174374297621057	0.07	0.031	1	6	2	ENSG00000136367
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000111799	COL12A1	protein_coding	8.574088488266141e-4	-3.27548841	0.008	0.055	1	1	5	ENSG00000111799
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000114503	NCBP2	protein_coding	8.58465673493658e-4	-0.288416057	0.558	0.724	1	91	97	ENSG00000114503
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000148358	GPR107	protein_coding	8.620136694303396e-4	-0.075200744	0.256	0.384	1	25	32	ENSG00000148358
