Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000157388	CACNA1D	protein_coding	7.762235036636552e-12	-1.627645847	0.026	0.071	1.768314763696173e-7	2	5	ENSG00000157388
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000069020	MAST4	protein_coding	7.856385385076424e-12	-1.979761288	0.041	0.092	1.7897631545742601e-7	3	7	ENSG00000069020
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104412	EMC2	protein_coding	7.874745287182522e-12	0.1142699022708924	0.68	0.538	1.7939457238730503e-7	75	79	ENSG00000104412
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000142449	FBN3	protein_coding	7.939401177775396e-12	2.8018161311622034	0.019	0.002	1.808674982309013e-7	1	0	ENSG00000142449
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000058262	SEC61A1	protein_coding	7.945796240361745e-12	-0.5297467	0.627	0.638	1.8101318415168093e-7	76	104	ENSG00000058262
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000166272	WBP1L	protein_coding	8.149867381509053e-12	-0.89654684	0.142	0.216	1.8566212881815773e-7	9	18	ENSG00000166272
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143375	CGN	protein_coding	8.173630317018633e-12	1.1482232800173229	0.084	0.039	1.862034722520015e-7	6	3	ENSG00000143375
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000235531	MSC-AS1	lncRNA	8.315755658660784e-12	0.7107253746567519	0.192	0.123	1.8944122965995131e-7	13	9	ENSG00000235531
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000161036	LRWD1	protein_coding	8.371050794884418e-12	0.4564805213754166	0.291	0.207	1.9070090815826193e-7	21	17	ENSG00000161036
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000131620	ANO1	protein_coding	8.397215882139607e-12	-3.561143948	0.006	0.038	1.9129697501102237e-7	0	3	ENSG00000131620
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000139826	ABHD13	protein_coding	8.412002661388554e-12	0.15837722561439338	0.357	0.264	1.9163383262909265e-7	29	20	ENSG00000139826
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106009	BRAT1	protein_coding	8.439110623654276e-12	0.3173591828012361	0.347	0.259	1.9225137911746805e-7	24	21	ENSG00000106009
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000168792	ABHD15	protein_coding	8.459871706046208e-12	-1.537747421	0.035	0.085	1.9272433733543866e-7	2	6	ENSG00000168792
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000204272	NBDY	protein_coding	8.505486344853413e-12	0.14323512080635642	0.689	0.568	1.937634844221056e-7	96	88	ENSG00000204272
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000227392	HPN-AS1	lncRNA	8.530297214547595e-12	-2.013204006	0.025	0.069	1.9432870084460876e-7	2	6	ENSG00000227392
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000102738	MRPS31	protein_coding	8.565780573329319e-12	-0.023320033	0.54	0.425	1.951370472410152e-7	51	40	ENSG00000102738
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000149289	ZC3H12C	protein_coding	8.690414528171e-12	-1.023977434	0.19	0.268	1.9797633336626357e-7	12	25	ENSG00000149289
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000169715	MT1E	protein_coding	8.746186112694546e-12	-1.032149667	0.363	0.402	1.9924686583329447e-7	49	78	ENSG00000169715
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000135409	AMHR2	protein_coding	8.875488696574617e-12	2.614113728834731	0.03	0.006	2.0219250799666635e-7	2	0	ENSG00000135409
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000080007	DDX43	protein_coding	8.940285714450455e-12	-0.409347087	0.074	0.14	2.0366864886089582e-7	4	12	ENSG00000080007
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000157240	FZD1	protein_coding	8.968447284939877e-12	-1.484094851	0.05	0.104	2.0431019759821536e-7	3	8	ENSG00000157240
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104368	PLAT	protein_coding	9.240720061765905e-12	-0.634057196	0.699	0.698	2.1051284372708907e-7	175	252	ENSG00000104368
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000114115	RBP1	protein_coding	9.259635497741747e-12	-0.22647868	0.151	0.086	2.1094375627405473e-7	14	14	ENSG00000114115
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000043143	JADE2	protein_coding	9.26171311443773e-12	-0.748221452	0.234	0.312	2.1099108646000595e-7	16	31	ENSG00000043143
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000123610	TNFAIP6	protein_coding	9.266774074669215e-12	-4.516257444	0.004	0.034	2.111063801950394e-7	0	5	ENSG00000123610
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000100351	GRAP2	protein_coding	9.277643355424572e-12	-1.567199182	0.041	0.091	2.1135399327992719e-7	3	8	ENSG00000100351
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000155660	PDIA4	protein_coding	9.395667124403567e-12	-0.664785676	0.584	0.605	2.1404269276103766e-7	75	122	ENSG00000155660
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000124145	SDC4	protein_coding	9.428681670902843e-12	0.4655090794185721	0.276	0.198	2.1479479714483765e-7	21	18	ENSG00000124145
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000184857	TMEM186	protein_coding	9.487737224141722e-12	0.4876889900999264	0.267	0.19	2.1614014170317256e-7	17	14	ENSG00000184857
